refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere
DOJTIH,OC(=O)/C=C/C(=O)O,Li,1.29429,0.63448,1.23208
DONKIC,C[C@@H]1c2cc(c(cc2OCC(=O)O)OCC(=O)O)[C@H](C)c2cc(c(cc2OCC(=O)O)OCC(=O)O)[C@@H](c2cc([C@@H](c3cc1c(OCC(=O)O)cc3OCC(=O)O)C)c(OCC(=O)O)cc2OCC(=O)O)C,Co,5.11006,4.16409,5.11006
DONKUO,C[C@@H]1c2cc(c(cc2OCC(=O)O)OCC(=O)O)[C@H](C)c2cc(c(cc2OCC(=O)O)OCC(=O)O)[C@@H](c2cc([C@@H](c3cc1c(OCC(=O)O)cc3OCC(=O)O)C)c(OCC(=O)O)cc2OCC(=O)O)C,Mn,4.35453,2.567,3.9922
DOPHOH,O=C(c1cc(cc(c1)C(=O)N[C@H](C(=O)O)CC(=O)O)C(=O)N[C@H](C(=O)O)CC(=O)O)N[C@H](C(=O)O)CC(=O)O,Cu,7.67577,5.43172,7.67577
DORDUK,OC(=O)[C@H]1CC[C@@](C1(C)C)(C)C(=O)O,In,6.79875,5.76901,6.79875
DORFIA,OC(=O)[C@H]1CC[C@@](C1(C)C)(C)C(=O)O,Ni,2.37577,1.63384,2.37577
DUBTUR,[nH]1cnnc1,Co,3.61352,1.14951,3.13256
DUCHIS,C=CCC#N,Cu,2.02806,1.20419,2.02358
DUCQAU,OC(=O)C(=O)O,Pr,2.45258,1.21595,2.37282
DUJQUW,OC(=O)C(=O)O,Sc,3.54141,2.73851,3.53911
DUKXOY,n1[nH]cc(c1)Cc1c[nH]nc1,Cd,4.68152,1.85173,4.67201
DUQYEU,OC(=O)C(=O)O,Dy,4.73786,4.35217,4.72803
DURGAY01,OC(=O)CCC(=O)O,Na,2.03421,0.79615,2.03421
DUVVOH02,OP(=O)(Cc1ccc(cc1)CP(=O)(O)O)O,Ca,2.14252,1.26833,2.12726
DUWFAE,OS(c1cc(ccc1c1cc(nc(c1)c1cccnc1)c1cccnc1)S(O)(O)O)(O)O,Cd,3.32968,1.25147,3.30588
DUWFEI,OS(c1cc(ccc1c1cc(nc(c1)c1cccnc1)c1cccnc1)S(O)(O)O)(O)O,Ag,1.83288,0.94788,1.83288
DUZNET,OP(=O)(c1ccc(cc1)P(=O)(O)O)O,Li,1.58341,1.04363,1.58341
DUZNIX,OP(=O)(c1ccc(cc1)P(=O)(O)O)O,K,1.72246,0.95233,1.68914
DUZNOD,OP(=O)(c1ccc(cc1)P(=O)(O)O)O,Rb,1.79824,0.92129,1.63411
DUZNUJ,OP(=O)(c1ccc(cc1)P(=O)(O)O)O,Cs,1.7063,1.02821,1.54866
EBEXEQ,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Gd,4.54125,3.69238,4.54125
EBEXIU,[C]/C(=C\[C])/C(=O)O,Gd,4.05581,3.68513,4.05581
EBEZAO,O=C(CC(=O)NCC(=O)O)NCC(=O)O,Ca,2.44126,1.25988,2.35549
EBEZOC,c1ncn(c1)CC(Cn1cncc1)(Cn1cncc1)Cn1cncc1,Ag,1.82974,0.93635,1.81114
EBINUA,C(Cn1ncnc1)CCn1ncnc1,Cu,3.7747,2.28888,3.7747
EBOVOJ,OP(=O)(c1ccc(cc1)C(c1ccc(cc1)P(=O)(O)O)(c1ccc(cc1)P(=O)(O)O)c1ccc(cc1)P(=O)(O)O)O,La,3.27652,1.30464,3.26573
EBUJUI,C(CN1NC=NC1)CCN1NC=NC1,Ni,4.18717,1.69452,3.98515
EBUTEC,OC(=O)[C@H]1CC[C@@](C1(C)C)(C)C(=O)O,Gd,2.3679,1.29311,2.06471
EBUTIG,OC(=O)[C@H]1CC[C@@](C1(C)C)(C)C(=O)O,Tb,2.33755,1.25444,2.0958
EBUTOM,OC(=O)[C@H]1CC[C@@](C1(C)C)(C)C(=O)O,Eu,2.08473,1.31074,2.07123
EBUTUS,OC(=O)[C@H]1CC[C@@](C1(C)C)(C)C(=O)O,Dy,2.39275,1.28017,2.06099
ECEYUH,OC(=O)[C@@H]1CC[C@@H](CC1)C(=O)O,Ni,2.63283,1.31985,2.62875
ECOROD,OC(=O)[C@@H]1C[C@@H](C[C@@H](C1)C(=O)O)C(=O)O,Co,3.75477,1.8063,3.74647
ECUBUA,OC(=O)[C@@H]1[C@@H](C(=O)O)[C@H](C(=O)O)[C@H]([C@@H]([C@H]1C(=O)O)C(=O)O)C(=O)O,Co,2.95539,0.89161,2.95539
ECUCAH,OC(=O)[C@@H]1[C@@H](C(=O)O)[C@H](C(=O)O)[C@H]([C@@H]([C@H]1C(=O)O)C(=O)O)C(=O)O,Mn,2.96725,0.91575,2.96725
